,Price,Title,Subtitle,Discount_rate,Item Location,Refurbished,No of Watchers
105,469.00,New listingApple iPhone 12 128GB Unlocked Blue,Brand new,0%,UK,N/A,0
106,499.99,Apple iPhone 13 - 128GB - Midnight (EE),Pre-owned,0%,UK,N/A,0
107,625.00,New listingApple iPhone 12 Pro Max 128gb Unlocked Graphite,Pre-owned,0%,UK,N/A,0
108,336.00,Apple iPhone 12 mini - 64GB - Black (Unlocked),Opened – never used,0%,UK,N/A,0
110,365.00,Apple iPhone SE 3rd Gen. - 128GB - Midnight (Unlocked),Opened – never used,0%,UK,N/A,0
111,300.00,Apple iPhone 11 Pro - 64GB - Midnight Green (EE) A2215 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
112,389.00 to 499.00,Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked All Colours - Excellent,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,24+ sold
113,269.99 to 319.99,Apple iPhone 11 64GB/128GB/256GB - ALL COLOURS - UNLOCKED - GOOD CONDITION,12 Month Warranty - Fast & Free Shipping - Unlocked,0%,UK,Refurbished,12+ sold
114,444.99,Apple iPhone 11 Pro - All Sizes - All Colours - Unlocked - Very Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,107+ sold
115,509.99 to 609.99,Apple iPhone 11 Pro Max - All Sizes & Colours - Unlocked - Very Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,26+ sold
116,319.99,NEW SEALED Apple iPhone XR - 128GB Unlocked Any Network 12 Months APPLE WARRANTY,✅SEALED BOX ✅ 5 FREE ITEMS ✅ CHEAPEST ON EBAY✅NEXT DAY,0%,UK,N/A,0
117,420.18,Apple iPhone 12 64GB 128GB 256GB - Unlocked - All Colors - EXCELLENT CONDITION,12 MONTHS WARRANTY | UNLOCKED | TOP UK SELLER,0%,UK,N/A,0
118,424.99 to 429.99,Apple iPhone 12 64GB/128GB/256GB - ALL COLOURS - UNLOCKED- VERY GOOD CONDITION,12 Month Warranty - Fast & Free Shipping - Unlocked,0%,UK,Refurbished,0
119,965.00,New listingApple iPhone 13 Pro Max - 256GB - Graphite (Unlocked) Boxed Brand New,Brand new,0%,UK,N/A,0
120,324.99,Brand New Apple iPhone XS 64GB 256GB Unlocked - All Colours - With Original Box,NEW BOXED ✅ 1.7 MILLION POSITIVE FEEDBACK,46% off,UK,N/A,0
121,579.95,Apple iPhone 12 Pro 128GB 256GB 512GB Unlocked All Colours - Good Condition,12 Month Warranty - Same Day Dispatch Order By 2pm,0%,UK,Refurbished,15+
123,579.95,Apple iPhone 12 Pro 128GB 256GB 512GB Unlocked All Colours - Good Condition,12 Month Warranty - Same Day Dispatch Order By 2pm,0%,UK,Refurbished,15+
124,487.00 to 529.00,Apple iPhone 12 64GB 128GB 256GB Unlocked All Colours - Excellent,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,50+ sold
125,549.00 to 659.00,Apple iPhone 12 Pro 128GB 256GB 512GB Unlocked All Colours - Good,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,50+ sold
126,319.99,Apple iPhone 11 - 64GB 128GB 256GB - Unlocked - Good Condition UK Stock,✅1 Year Warranty ✅DPD Next Day Delivery ✅Accessories,0%,UK,Refurbished,3+
127,649.99 to 779.99,Apple iPhone 13 - All Sizes - All Colours - Unlocked - Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,5+
129,320.00,Apple iPhone 11 Pro Max - 64GB - Midnight Green (UNLOCKED) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
131,319.95,Apple iPhone 11 64GB (Unlocked) Space Gray - Sent same day RM - Mint Ex-Demo,Opened – never used,0%,UK,N/A,24
132,350.00,Apple iPhone 11 Pro Max - 256GB - Midnight Green (Unlocked) A2218 (CDMA + GSM),READ DESCRIPTION,0%,UK,N/A,0
133,362.00,Apple iPhone 12 - 128GB - Purple (Unlocked),Pre-owned,0%,UK,N/A,0
134,609.99,Apple iPhone 13 - 128GB - Green - Unlocked,Pre-owned,0%,UK,N/A,0
135,390.00,Apple iPhone 11 256GB IMMACULATE unlocked Boxed With Accessories,Opened – never used,0%,UK,N/A,0
136,569.99,Apple iPhone 12 Pro - 128GB - Pacific Blue - Unlocked,Pre-owned,0%,UK,N/A,0
137,459.99,Apple iPhone 12 64GB - Black - Unlocked - 12 Month Warranty - Pristine Condition,INCLUDING - 6 MONTH FAULTY DEVICE SWAP OUT SERVICE ✅,0%,UK,Refurbished,30
138,299.99 to 359.99,Apple iPhone X - 64GB 256GB - All Colours - Unlocked - Very Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,31+ sold
139,379.95,New listingApple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked) - Read The Description,Parts only,0%,UK,N/A,0
140,340.00,Apple iPhone 12 mini - 128GB - Blue (Unlocked) APPLE WARRANTY TILL  APRIL 2023,Pre-owned,0%,UK,N/A,0
141,300.00,Apple iPhone 12 mini - 128GB - (Unlocked) - EXCELLENT CONDITION,Pre-owned,0%,UK,N/A,0
142,490.00,Apple iPhone 12 - 128GB - Black (Unlocked),Brand new,0%,UK,N/A,0
143,300.00,New listingApple iPhone 11 Pro Max - 64GB - Midnight Green (Vodafone) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
144,421.00,Apple iPhone 13 - 128GB - Midnight (Unlocked),Pre-owned,0%,UK,N/A,0
145,349.99,"Apple iPhone 13 Pro - 128GB - Graphite, Pristine With Issue",Parts only,0%,UK,N/A,0
146,390.00,Apple iPhone 12 Pro - 128GB - Pacific Blue (Unlocked),Pre-owned,0%,UK,N/A,0
147,329.99,Apple iPhone 12 - 64GB - Blue (Unlocked),Pre-owned,0%,UK,N/A,0
148,349.00,Apple iPhone SE 3rd Gen. Midnight - 64GB - (Unlocked),Brand new,0%,UK,N/A,0
149,335.00,Apple iPhone 11 Pro- 64GB - (Unlocked)(CDMA + GSM),Pre-owned,0%,UK,N/A,0
150,400.00,Apple iPhone 12 - 64GB - Black (Unlocked),Opened – never used,0%,UK,N/A,0
151,629.00 to 755.00,Apple iPhone 12 Pro 128GB 256GB 512GB Unlocked All Colours - Excellent,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,61+ sold
152,329.99 to 419.99,Apple iPhone XS Max - All Sizes & Colours - (UNLOCKED) - Very Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,8% off,UK,Refurbished,50+ sold
153,372.00 to 503.00,Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked All Colours - Very Good,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,22+ sold
154,789.99 to 849.99,Apple iPhone 12 Pro Max - All Sizes- All Colours -Unlocked - Very Good Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,21+ sold
155,430.00,Apple iPhone 11 Pro Max - 256GB - Midnight Green (Unlocked) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
157,300.55,New listingApple iPhone 13 - 128GB - Starlight (Unlocked),Brand new,0%,UK,N/A,0
158,419.95,Apple iPhone 11 - 64 GB Mobile Smart Phone Black **NEW SEALED**,Brand new,0%,UK,N/A,0
159,540.00,New listingApple iPhone 12 Pro Max - 128GB - Gold (Unlocked),Pre-owned,0%,UK,N/A,0
160,460.00,Apple iPhone 13 mini - 256GB - Starlight (Unlocked),Pre-owned,0%,UK,N/A,0
161,459.99 to 509.99,Apple iPhone 11 Pro Max - 64/256/512GB Unlocked All Colours Very Good Condition,"FREE Next Day Express Delivery,FREE Returns,Great Price",0%,UK,Refurbished,0
162,669.95 to 719.95,Apple iPhone 12 Pro Max 128GB 256GB 512GB Unlocked All Colours - Good Condition,12 Month Warranty - Same Day Dispatch Order By 2pm,0%,UK,Refurbished,13+
